dataset,method,top1_accuracy,top5_accuracy,ece,quant_type,exp_name
zoom_blur,no_adapt,43.633999,66.715996,0.049095,quant8_bs64,no_adapt_quant8_bs64_baseline
snow,no_adapt,61.084,82.858002,0.05171,quant8_bs64,no_adapt_quant8_bs64_baseline
frost,no_adapt,61.0,81.888,0.198213,quant8_bs64,no_adapt_quant8_bs64_baseline
fog,no_adapt,66.360001,83.311996,0.492917,quant8_bs64,no_adapt_quant8_bs64_baseline
brightness,no_adapt,77.087997,94.229996,0.103946,quant8_bs64,no_adapt_quant8_bs64_baseline
contrast,no_adapt,22.642,50.633999,0.113429,quant8_bs64,no_adapt_quant8_bs64_baseline
elastic_transform,no_adapt,44.896,68.071999,0.058083,quant8_bs64,no_adapt_quant8_bs64_baseline
pixelate,no_adapt,66.362,86.970001,0.064668,quant8_bs64,no_adapt_quant8_bs64_baseline
jpeg_compression,no_adapt,66.795998,87.650002,0.082194,quant8_bs64,no_adapt_quant8_bs64_baseline
gaussian_noise,zo_base,60.967999,82.949997,0.036505,quant8_bs64,zo_base_quant8_bs64_adapter3_rf384
shot_noise,zo_base,61.745998,83.449997,0.03574,quant8_bs64,zo_base_quant8_bs64_adapter3_rf384
impulse_noise,zo_base,61.087997,83.309998,0.042554,quant8_bs64,zo_base_quant8_bs64_adapter3_rf384
defocus_blur,zo_base,54.119999,77.535995,0.033344,quant8_bs64,zo_base_quant8_bs64_adapter3_rf384
glass_blur,zo_base,53.042,76.402,0.03344,quant8_bs64,zo_base_quant8_bs64_adapter3_rf384
motion_blur,zo_base,59.627998,81.907997,0.03599,quant8_bs64,zo_base_quant8_bs64_adapter3_rf384
zoom_blur,zo_base,51.331997,75.18,0.061598,quant8_bs64,zo_base_quant8_bs64_adapter3_rf384
snow,zo_base,68.344002,88.026001,0.059594,quant8_bs64,zo_base_quant8_bs64_adapter3_rf384
frost,zo_base,65.928001,85.919998,0.061088,quant8_bs64,zo_base_quant8_bs64_adapter3_rf384
fog,zo_base,69.031998,88.43,0.140049,quant8_bs64,zo_base_quant8_bs64_adapter3_rf384
brightness,zo_base,79.863998,95.369995,0.071537,quant8_bs64,zo_base_quant8_bs64_adapter3_rf384
contrast,zo_base,46.34,68.723999,0.092951,quant8_bs64,zo_base_quant8_bs64_adapter3_rf384
elastic_transform,zo_base,55.281998,77.917999,0.040136,quant8_bs64,zo_base_quant8_bs64_adapter3_rf384
pixelate,zo_base,70.103996,89.717995,0.068168,quant8_bs64,zo_base_quant8_bs64_adapter3_rf384
jpeg_compression,zo_base,70.636002,90.225998,0.052434,quant8_bs64,zo_base_quant8_bs64_adapter3_rf384
gaussian_noise,lame,55.708,78.299995,0.068599,quant8_bs64,lame_quant8_bs64_calibration
