method,dataset,top1_acc_mean,top1_acc_std,ece_mean,ece_std,count,note
foa,gaussian_noise,61.542798600000005,0.1614348438249933,2.3201,0.10692130283530962,5,per_corruption_across_seeds
foa,shot_noise,62.837198,0.24207199962201242,2.4775199999999997,0.17658485778797678,5,per_corruption_across_seeds
foa,impulse_noise,63.3323984,0.12446177566345518,2.27472,0.20200918790985728,5,per_corruption_across_seeds
foa,defocus_blur,58.5359984,0.1506652481556384,3.38448,0.22644479901291614,5,per_corruption_across_seeds
foa,glass_blur,53.8611984,1.2040498406630855,3.4736599999999997,0.0924478393473854,5,per_corruption_across_seeds
foa,motion_blur,60.986798,0.21216361375245313,3.0870800000000003,0.21171000684899144,5,per_corruption_across_seeds
foa,zoom_blur,56.7335982,0.6123065835034753,3.9584799999999993,0.05686279099727701,5,per_corruption_across_seeds
foa,snow,69.4423982,0.3186604961455082,2.8901200000000005,0.14413518654374466,5,per_corruption_across_seeds
foa,frost,68.9143982,0.3324925124047145,3.1405199999999995,0.2336126430653957,5,per_corruption_across_seeds
foa,fog,73.79839940000001,0.3222276130382055,4.5553799999999995,0.5959349100363225,5,per_corruption_across_seeds
foa,brightness,80.89519820000001,0.04948710343817159,3.22708,0.27072891792344606,5,per_corruption_across_seeds
foa,contrast,67.2367996,0.24558297743186291,3.23546,0.35088722262288197,5,per_corruption_across_seeds
foa,elastic_transform,62.6515976,0.5691749850448438,3.09762,0.05448382328728408,5,per_corruption_across_seeds
foa,pixelate,73.6367982,0.19944165214969234,2.84942,0.12583106532172408,5,per_corruption_across_seeds
foa,jpeg_compression,72.7963976,0.3431944935511039,2.8976800000000003,0.3094507182088935,5,per_corruption_across_seeds
foa,ImageNet-C_Overall,65.813465,0.07620496980064853,3.1246213333333333,0.09027929557151455,5,overall_across_seeds
