method,dataset,top1_acc_mean,top1_acc_std,ece_mean,ece_std,count,note
lame,gaussian_noise,56.516798400000006,0.028551518371184546,6.529120000000001,0.049820046166176815,5,per_corruption_across_seeds
lame,shot_noise,56.5407982,0.02851688274864469,3.5930999999999997,0.03206758487943879,5,per_corruption_across_seeds
lame,impulse_noise,57.2471984,0.02625238658293892,5.578460000000001,0.027560986919920094,5,per_corruption_across_seeds
lame,defocus_blur,46.3803986,0.026995729325209515,5.13518,0.017779257577300603,5,per_corruption_across_seeds
lame,glass_blur,34.766399199999995,0.06253653972838552,9.23208,0.10928934989284142,5,per_corruption_across_seeds
lame,motion_blur,52.7111994,0.022432962372364265,2.30288,0.11265168440817926,5,per_corruption_across_seeds
lame,zoom_blur,44.161199200000006,0.04274479386077351,6.2614,0.057114271421423,5,per_corruption_across_seeds
lame,snow,58.5515984,0.1509407877357875,5.71066,0.10220669254016608,5,per_corruption_across_seeds
lame,frost,61.533998800000006,0.022046020064853403,18.04832,0.03667147392729185,5,per_corruption_across_seeds
lame,fog,63.06119840000001,0.05254599701499561,46.30144,0.025707839271319335,5,per_corruption_across_seeds
lame,brightness,77.401999,0.03373510061494143,7.76272,0.05479093903192383,5,per_corruption_across_seeds
lame,contrast,24.7095998,0.045042622039575535,29.24452,0.1747053004347628,5,per_corruption_across_seeds
lame,elastic_transform,44.6263976,0.04771606019779914,10.466800000000001,0.08424004392211525,5,per_corruption_across_seeds
lame,pixelate,66.639598,0.015583356714774128,3.88352,0.08571660865899895,5,per_corruption_across_seeds
lame,jpeg_compression,67.225998,0.02619333891469324,5.12828,0.05857381667605407,5,per_corruption_across_seeds
lame,ImageNet-C_Overall,54.13829195999999,0.013688718251142817,11.011898666666667,0.02245411983974895,5,overall_across_seeds
