method,dataset,top1_acc_mean,top1_acc_std,ece_mean,ece_std,count,note
t3a,gaussian_noise,56.3715988,0.07976704709151479,29.692199999999996,0.14217415376924172,5,per_corruption_across_seeds
t3a,shot_noise,56.934398,0.03409983871662663,30.006459999999997,0.06765299697722338,5,per_corruption_across_seeds
t3a,impulse_noise,57.277997600000006,0.050832892902135926,29.57862,0.08890816610413263,5,per_corruption_across_seeds
t3a,defocus_blur,47.895998999999996,0.07872679976666257,31.085020000000004,0.10138287330708257,5,per_corruption_across_seeds
t3a,glass_blur,37.7091988,0.07033634623507204,42.1592,0.15691561426448464,5,per_corruption_across_seeds
t3a,motion_blur,54.205198599999996,0.058010526633532865,32.106759999999994,0.0885243638779732,5,per_corruption_across_seeds
t3a,zoom_blur,46.9395988,0.07431632257922884,37.015480000000004,0.10007795461538835,5,per_corruption_across_seeds
t3a,snow,63.5399988,0.0816454775306022,25.730520000000002,0.08575434099799514,5,per_corruption_across_seeds
t3a,frost,60.82359759999999,0.1991752057882688,26.17386,0.2104868356928781,5,per_corruption_across_seeds
t3a,fog,68.3931976,0.11802159634066879,14.63654,0.1439657702372339,5,per_corruption_across_seeds
t3a,brightness,78.1059982,0.03613765359981096,16.5699,0.0431219201798815,5,per_corruption_across_seeds
t3a,contrast,38.309199400000004,0.1126288231328899,6.28416,0.151023782895278,5,per_corruption_across_seeds
t3a,elastic_transform,49.9927994,0.046445324854069645,34.956399999999995,0.07114411430329405,5,per_corruption_across_seeds
t3a,pixelate,67.61559919999999,0.08504380169477413,24.34196,0.07279246526942208,5,per_corruption_across_seeds
t3a,jpeg_compression,68.9375974,0.07531705254323315,22.5212,0.08175087155498621,5,per_corruption_across_seeds
t3a,ImageNet-C_Overall,56.87013181333333,0.024356447653243827,26.857218666666665,0.028120884844621007,5,overall_across_seeds
