method,dataset,top1_acc_mean,top1_acc_std,ece_mean,ece_std,count,note
tent,gaussian_noise,60.287198599999996,0.045969676981681265,13.696480000000003,0.027927083628619877,5,per_corruption_across_seeds
tent,shot_noise,61.53599799999999,0.16484019231212862,13.0671,0.1411758655011552,5,per_corruption_across_seeds
tent,impulse_noise,61.7795976,0.10760485398345407,12.854000000000003,0.11527573465391469,5,per_corruption_across_seeds
tent,defocus_blur,59.08799760000001,0.13774670232277972,14.7362,0.11047148953463118,5,per_corruption_across_seeds
tent,glass_blur,56.565999,0.08018781703600578,15.883600000000001,0.11541267261440574,5,per_corruption_across_seeds
tent,motion_blur,63.473199,0.05005164333466049,12.75356,0.05389668820994491,5,per_corruption_across_seeds
tent,zoom_blur,59.1347984,0.2469281944246133,15.3627,0.20452474177957075,5,per_corruption_across_seeds
tent,snow,56.652799200000004,1.9911055096605779,22.23642,2.1346452836478487,5,per_corruption_across_seeds
tent,frost,64.264,0.44077467486290584,12.43752,0.4542908836857721,5,per_corruption_across_seeds
tent,fog,2.6903999999999995,0.15962080064953937,92.73176,0.5977982084282277,5,per_corruption_across_seeds
tent,brightness,79.1691984,0.022831421425309497,6.00424,0.029363123130893377,5,per_corruption_across_seeds
tent,contrast,67.360797,0.1428034243496981,10.9227,0.1102928148158345,5,per_corruption_across_seeds
tent,elastic_transform,61.3207986,0.20293239958493547,14.548520000000002,0.18675370679052186,5,per_corruption_across_seeds
tent,pixelate,72.74359740000001,0.15611903921463396,8.53982,0.08423765191409341,5,per_corruption_across_seeds
tent,jpeg_compression,70.6015974,0.02967706866926165,9.381440000000001,0.04046119128251171,5,per_corruption_across_seeds
tent,ImageNet-C_Overall,59.77786507999999,0.15716919196317333,18.34373733333333,0.16680559040724777,5,overall_across_seeds
