Method,Avg_Acc1,Std_Acc1,Avg_ECE,Std_ECE,N_Datasets
FOA,62.72037633333333,12.86319030276798,0.05021833333333334,0.026729985659055887,3
COZO,61.744519333333336,13.106192289915535,0.05333433333333334,0.01610330445384839,3
NoAdapt,60.1757335,21.586925632909477,0.0674765,0.015982734575159533,2
CAZO,63.53482933333333,12.241498151006857,0.050339333333333326,0.021096838278124364,3
CoTTA,62.969894666666676,12.741377198762319,0.08024633333333334,0.08521776477550519,3
ZO,63.33337766666666,12.754076325178604,0.05220399999999999,0.025078895749215114,3
