Method,rendition,sketch,v2
CAZO,64.383331,50.891155,75.330002
COZO,60.52,49.29356,75.419998
CoTTA,63.363335,50.036354,75.509995
FOA,63.213333,49.617794,75.330002
NoAdapt,0.036667,44.911472,75.439995
TENT,63.889999,48.967358,75.080002
ZO,64.646667,49.973469,75.379997
